"80.2,"
"3766 .png , 1.0"
"3772 .png , 1.0"
"1165 .png , 1.0"
"397 .png , 1.0"
"4753 .png , 1.0"
"2322 .png , 1.0"
"2444 .png , 1.0"
"3982 .png , 1.0"
"4035 .png , 1.0"
"1159 .png , 1.0"
"2450 .png , 1.0"
"3996 .png , 1.0"
"4021 .png , 1.0"
"3028 .png , 1.0"
"4747 .png , 1.0"
"2336 .png , 1.0"
"340 .png , 1.0"
"426 .png , 1.0"
"3969 .png , 1.0"
"1818 .png , 1.0"
"354 .png , 1.0"
"4790 .png , 1.0"
"1830 .png , 1.0"
"3799 .png , 1.0"
"3941 .png , 1.0"
"2493 .png , 1.0"
"3955 .png , 1.0"
"1824 .png , 1.0"
"4784 .png , 1.0"
"3943 .png , 1.0"
"418 .png , 1.0"
"1832 .png , 1.0"
"4792 .png , 1.0"
"4786 .png , 1.0"
"1826 .png , 1.0"
"1198 .png , 1.0"
"3957 .png , -1.0"
"2491 .png , 1.0"
"424 .png , 1.0"
"342 .png , 1.0"
"356 .png , 1.0"
"4962 .png , 1.0"
"430 .png , 1.0"
"3758 .png , 1.0"
"4037 .png , 1.0"
"3980 .png , 1.0"
"2446 .png , 1.0"
"4989 .png , 1.0"
"2320 .png , 1.0"
"4751 .png , 1.0"
"4745 .png , 1.0"
"4023 .png , 1.0"
"3994 .png , 1.0"
"2452 .png , 1.0"
"3764 .png , 1.0"
"1173 .png , 1.0"
"381 .png , 1.0"
"3002 .png , 1.0"
"2308 .png , 1.0"
"4779 .png , 1.0"
"3016 .png , 1.0"
"395 .png , 1.0"
"1601 .png , 1.0"
"3770 .png , 1.0"
"4590 .png , 1.0"
"3599 .png , 1.0"
"2687 .png , 1.0"
"2693 .png , 1.0"
"96 .png , 1.0"
"168 .png , 1.0"
"140 .png , 1.0"
"2863 .png , 1.0"
"626 .png , 1.0"
"2877 .png , 1.0"
"154 .png , 1.0"
"2122 .png , 1.0"
"2644 .png , 1.0"
"4235 .png , 1.0"
"801 .png , -1.0"
"41 .png , 1.0"
"815 .png , 1.0"
"55 .png , 1.0"
"1359 .png , 1.0"
"4221 .png , 1.0"
"3228 .png , 1.0"
"7 .png , 1.0"
"4547 .png , 1.0"
"2136 .png , 1.0"
"3200 .png , 1.0"
"183 .png , 1.0"
"1417 .png , 1.0"
"1371 .png , 1.0"
"2678 .png , 1.0"
"4209 .png , 1.0"
"3572 .png , 1.0"
"829 .png , 1.0"
"69 .png , 1.0"
"1365 .png , 1.0"
"197 .png , 1.0"
"3214 .png , 1.0"
"4396 .png , 1.0"
"1588 .png , 1.0"
"2917 .png , 1.0"
"752 .png , 1.0"
"746 .png , -1.0"
"2903 .png , 1.0"
"3348 .png , 1.0"
"2730 .png , 1.0"
"975 .png , 1.0"
"961 .png , 1.0"
"4355 .png , 1.0"
"2724 .png , -1.0"
"2042 .png , 1.0"
"4433 .png , 1.0"
"3374 .png , 1.0"
"1563 .png , 1.0"
"791 .png , 1.0"
"3412 .png , 1.0"
"3406 .png , 1.0"
"4369 .png , 1.0"
